"avg_watch_time","caption","collaborators","comment_sentiment_rate","comments","created_date","created_time","eng_rate_by_reach","eng_rate_by_views","engagement","engagement_rate","follower_change_24h","followers","id","image","likes","link","media_id","product_tags","profile_visits","reach","reach_rate","saved","shares","timezone","type","username","views"
"15312","Meet the man behind the madness!
Watch episode 1 of ‘The How’ on Zero1 Hustle now🧩

Link in Bio!

[new channel, explore page, podcast]","artguyrob","44.31","574","2025-01-16","2025-01-16T16:19:28.000000+0530","13.19","8.91","220430","328.28",,"58020","18457229575068284","https://d3jrpje4cbadyk.cloudfront.net/media/62271955016/18457229575068284/473885951_17908366011075017_2151344287161375970_n.jpg","189893","https://www.instagram.com/reel/DE4jYXVyLXo/","3546740312511133160_62271955016",,,"1496032","2578.48","6826","23137","IST","reel","zero1byzerodha","2214951"
"7875","From early fame to strategic decisions, @anushkasen0408 is turning ambition into action⚡

She’s proof that early success isn’t the peak—it’s the starting point. In this Girlboss episode, Anushka opens up about building her own brand identity, making smart money decisions and what it truly means to navigate fame and business as a young woman⚡️

Catch the full conversation now live on Zero1 Hustle 🌟 

[girl boss, explore page, podcast, women in business]","anushkasen0408","51.57","636","2025-04-08","2025-04-08T11:18:49.000000+0530","5.51","3.52","111995","133.93",,"78446","18079611604661835","https://d3jrpje4cbadyk.cloudfront.net/media/62271955016/18079611604661835/489462043_17917721271075017_4253049380200003964_n.jpg","104430","https://www.instagram.com/reel/DILJg71y1lI/","3606017772335356232_62271955016",,,"1980841","2525.1","4035","2894","IST","reel","zero1byzerodha","3103339"
"12288","Redefining the game @suniel.shetty 💪⚡️

[fest, panelist, health, explore page, finance]",,"31.52","335","2025-04-11","2025-04-11T13:28:35.000000+0530","4.39","3.27","186071","126.81",,"81608","18456013474079891","https://d3jrpje4cbadyk.cloudfront.net/media/62271955016/18456013474079891/490064944_17918021541075017_1125578054406234136_n.jpg","103154","https://www.instagram.com/reel/DITHEa7P60a/","3608258816568700186_62271955016",,,"2569149","3148.16","9201","73381","IST","reel","zero1byzerodha","3443829"
"19349","I don't know who needs to hear this but start an emergency fund👏

Episode now live on Zero1 Hustle⚡

[girl boss, podcast, women, explore page, savings, funds]",,"16.81","115","2025-06-21","2025-06-21T14:00:10.000000+0530","4.68","2.76","89777","64.42",,"116069","17948327093856203","https://d3jrpje4cbadyk.cloudfront.net/media/62271955016/17948327093856203/503438200_17926051779075017_5854025851803193623_n.jpg","74659","https://www.instagram.com/reel/DLJ_MHvvMaN/","3659734082096252557_62271955016",,,"1741543","1500.44","6771","8232","IST","reel","zero1byzerodha","2954650"
"23826","Owning a house isn’t a dream if it brings you decades of debt 📣

[fest, panel, debt, finance, explore page]",,"17.62","178","2025-05-17","2025-05-17T16:07:27.000000+0530","3.68","2.34","82168","62.6",,"100018","17887225107257485","https://d3jrpje4cbadyk.cloudfront.net/media/62271955016/17887225107257485/502385648_17923270680075017_8847228252532579500_n.jpg","62431","https://www.instagram.com/reel/DJwGIFJP-vu/","3634431842846764014_62271955016",,,"1890124","1889.78","6863","12696","IST","reel","zero1byzerodha","2973167"
"14191","Learning about nutrition isn’t optional, it’s foundational⚡️

[fest, panelist, explore page, health, Bangalore]",,"18.42","233","2025-04-14","2025-04-14T17:52:38.000000+0530","4.37","3.3","102100","60.03",,"86993","17853135027425684","https://d3jrpje4cbadyk.cloudfront.net/media/62271955016/17853135027425684/490614409_17918356761075017_2001667186760184602_n.jpg","51987","https://www.instagram.com/reel/DIbTv7gSXja/","3610566382859155674_62271955016",,,"1386862","1594.22","8418","41462","IST","reel","zero1byzerodha","1837497"
"14971","Motivation doesn’t change your life, action does 📣

#zero1fest 

[motivation, explore page, panellist, Zero1 Fest]",,"16.98","217","2025-04-06","2025-04-06T16:56:42.000000+0530","8.8","6.21","68407","54.83",,"75911","18297469201243878","https://d3jrpje4cbadyk.cloudfront.net/media/62271955016/18297469201243878/488587811_17917533900075017_1524559297795227328_n.jpg","41404","https://www.instagram.com/reel/DIGnQx4P7Lm/","3604741228639269606_62271955016",,,"609299","802.65","12009","14777","IST","reel","zero1byzerodha","864285"
"16119","Uncover the hidden red flags in real estate with @nirupa.shankar 🚩

#zero1fest 

[fest, Bangalore, real estate, explore page, finance, women]",,"20.02","99","2025-04-05","2025-04-05T15:54:04.000000+0530","3.79","2.33","39443","32.18",,"72083","18089578444587657","https://d3jrpje4cbadyk.cloudfront.net/media/62271955016/18089578444587657/489385510_17917421733075017_3562383359036583044_n.jpg","23098","https://www.instagram.com/reel/DID639sv9hO/","3603983059344414798_62271955016",,,"741529","1028.72","4892","11354","IST","reel","zero1byzerodha","1207115"
,"Raftaar, Dilin Nair, or Max, no matter what name you know him as you’ve all grooved to his music. And, this year, he’s headlining the Zero1 Fest ⚡

Rapper, lyricist, music producer, and TV personality - @raftaarmusic wears many hats and he wears them well. With a career spanning over 17 years and songs in over 5 languages, he has made his way into millions of hearts (and playlists). From mainstream Bollywood numbers to meticulous indie albums, Raftaar has written, produced and performed on all. And, like always, we’re sure he’ll set the stage on fire at the Zero1 Fest too 🔥

Before we end this, we’d like to say - Mr. Nair, we’re all huge fans. From Zero to Infinity 💛

Catch him LIVE at Chamara Vajra 🎙️
Complete the mission on the Zero1 App now to earn your passes. Link in bio!

[fest, artist, explore page, concert, Bangalore, music]",,"14.8","212","2025-02-28","2025-02-28T15:42:28.000000+0530","4.94","2.88","16791","26.62",,"60053","18348080665150743","https://d3jrpje4cbadyk.cloudfront.net/media/62271955016/18348080665150743/482058907_17913357411075017_3351439167768126045_n.jpg","15776","https://www.instagram.com/p/DGnNnuuseFa/","3577888333808918874_62271955016",,"1361","325797","542.52","108","695","IST","image","zero1byzerodha","558944"
"17244","From Aerospace secrets to foriegn influences, our dearest @nambi661 Sir spills it all in his 'Think like a Genius' panel at the Zero1 fest✨

[fest, panel, bangalore, explore page, politics]","thethinkschool","22.67","94","2025-05-16","2025-05-16T17:41:02.000000+0530","8.97","5.92","29127","24.9",,"97128","17926144962062611","https://d3jrpje4cbadyk.cloudfront.net/media/62271955016/17926144962062611/499640575_17922461886075017_5953549234964853923_n.jpg","24087","https://www.instagram.com/reel/DJtsWdyqoqQ/","3633755532221385360_62271955016",,,"294043","302.74","2207","2739","IST","reel","zero1byzerodha","445873"
